(frozenset(['goth']), frozenset(['gay', 'sadistic', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['sadistic', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'gay']), frozenset(['emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay']), frozenset(['epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay', 'scene']), frozenset(['epic']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'gay']), frozenset(['emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'scene', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene', 'gay']), frozenset(['emo', 'epic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay']), frozenset(['sadistic', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay']), frozenset(['sadistic', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay', 'scene']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay', 'scene']), frozenset(['sadistic', 'epic']), 5, 1.0)
(frozenset(['goth', 'epic', 'gay']), frozenset(['sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene', 'gay']), frozenset(['sadistic', 'emo']), 5, 1.0)
(frozenset(['goth', 'scene', 'gay']), frozenset(['sadistic', 'emo', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'goth']), frozenset(['emo', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo']), frozenset(['epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'scene']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic']), frozenset(['emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'scene']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene']), frozenset(['emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo']), frozenset(['sadistic', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo']), frozenset(['sadistic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'scene']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'scene']), frozenset(['sadistic', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic']), frozenset(['sadistic', 'emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene']), frozenset(['sadistic', 'emo', 'gay']), 5, 1.0)
(frozenset(['goth', 'scene']), frozenset(['sadistic', 'emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'gay', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['goth', 'epic', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'gay']), frozenset(['goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'gay']), frozenset(['goth', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'scene', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene', 'gay']), frozenset(['goth', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'gay']), frozenset(['goth', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene', 'gay']), frozenset(['goth', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'scene', 'gay']), frozenset(['goth', 'epic', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'emo']), frozenset(['goth', 'epic', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic']), frozenset(['goth', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'scene']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene']), frozenset(['goth', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic']), frozenset(['goth', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene']), frozenset(['goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'scene']), frozenset(['goth', 'epic', 'emo', 'gay']), 5, 1.0)
(frozenset(['epic']), frozenset(['goth', 'gay', 'sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['sadistic', 'goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'gay']), frozenset(['sadistic', 'goth', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene', 'gay']), frozenset(['sadistic', 'goth']), 5, 1.0)
(frozenset(['epic', 'scene', 'gay']), frozenset(['sadistic', 'goth', 'emo']), 5, 1.0)
(frozenset(['emo', 'epic']), frozenset(['sadistic', 'goth', 'gay', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene']), frozenset(['sadistic', 'goth', 'gay']), 5, 1.0)
(frozenset(['epic', 'scene']), frozenset(['sadistic', 'goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'scene']), frozenset(['emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'scene', 'gay']), frozenset(['emo', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['epic']), frozenset(['sadistic', 'emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['emo', 'epic']), frozenset(['sadistic', 'scene', 'gay']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene', 'gay']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['emo', 'epic', 'gay']), frozenset(['sadistic', 'scene']), 5, 1.0)
(frozenset(['epic', 'scene']), frozenset(['sadistic', 'emo', 'gay']), 5, 1.0)
(frozenset(['epic', 'scene', 'gay']), frozenset(['sadistic', 'emo']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'epic', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth']), frozenset(['epic', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay']), frozenset(['epic']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'gay']), frozenset(['emo', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'epic']), frozenset(['goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'gay']), frozenset(['goth', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'emo']), frozenset(['goth', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'gay']), frozenset(['goth', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['goth', 'epic', 'emo']), 5, 1.0)
(frozenset(['goth']), frozenset(['sadistic', 'epic', 'emo', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic']), frozenset(['sadistic', 'emo', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['goth', 'epic', 'gay']), frozenset(['sadistic', 'emo']), 5, 1.0)
(frozenset(['goth', 'emo']), frozenset(['sadistic', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay']), frozenset(['sadistic', 'epic']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['sadistic', 'emo', 'epic']), 5, 1.0)
(frozenset(['epic']), frozenset(['sadistic', 'goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['emo', 'epic']), frozenset(['sadistic', 'goth', 'gay']), 5, 1.0)
(frozenset(['emo', 'epic', 'gay']), frozenset(['sadistic', 'goth']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['sadistic', 'goth', 'emo']), 5, 1.0)
(frozenset(['Cock']), frozenset(['Twink', 'Gay', 'Bear', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Cock']), frozenset(['Bear', 'Gay', 'TeamGay']), 7, 1.0)
(frozenset(['Cock', 'Twink', 'Bear']), frozenset(['Gay', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Cock', 'Gay', 'Bear']), frozenset(['TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Cock', 'Bear', 'TeamGay']), frozenset(['Gay']), 7, 1.0)
(frozenset(['Cock', 'Twink', 'Gay']), frozenset(['Bear', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Cock', 'Gay', 'TeamGay']), frozenset(['Bear']), 7, 1.0)
(frozenset(['Cock', 'Twink', 'TeamGay']), frozenset(['Gay', 'Bear']), 7, 1.0)
(frozenset(['Cock', 'Gay']), frozenset(['Twink', 'Bear', 'TeamGay']), 7, 1.0)
(frozenset(['Cock', 'Bear', 'Gay']), frozenset(['Twink', 'TeamGay']), 7, 1.0)
(frozenset(['Cock', 'Gay', 'Bear', 'TeamGay']), frozenset(['Twink']), 7, 1.0)
(frozenset(['Cock', 'Gay', 'TeamGay']), frozenset(['Twink', 'Bear']), 7, 1.0)
(frozenset(['Cock', 'Bear']), frozenset(['Twink', 'Gay', 'TeamGay']), 7, 1.0)
(frozenset(['Cock', 'Bear', 'TeamGay']), frozenset(['Twink', 'Gay']), 7, 1.0)
(frozenset(['Cock', 'TeamGay']), frozenset(['Twink', 'Bear', 'Gay']), 7, 1.0)
(frozenset(['Bear']), frozenset(['Twink', 'Cock', 'Gay', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Bear']), frozenset(['Cock', 'Gay', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Gay', 'Bear']), frozenset(['Cock', 'TeamGay']), 7, 1.0)
(frozenset(['Twink', 'Bear', 'Gay', 'TeamGay']), frozenset(['Cock']), 7, 1.0)
(frozenset(['Twink', 'Bear', 'TeamGay']), frozenset(['Cock', 'Gay']), 7, 1.0)
(frozenset(['Gay', 'Bear']), frozenset(['Cock', 'Twink', 'TeamGay']), 7, 1.0)
(frozenset(['Bear', 'Gay', 'TeamGay']), frozenset(['Twink', 'Cock']), 7, 1.0)
(frozenset(['Bear', 'TeamGay']), frozenset(['Cock', 'Twink', 'Gay']), 7, 1.0)
(frozenset(['TeamGay']), frozenset(['Twink', 'Cock', 'Gay', 'Bear']), 7, 0.7)
(frozenset(['Twink', 'TeamGay']), frozenset(['Cock', 'Bear', 'Gay']), 7, 1.0)
(frozenset(['Twink', 'Gay', 'TeamGay']), frozenset(['Cock', 'Bear']), 7, 1.0)
(frozenset(['Gay', 'TeamGay']), frozenset(['Cock', 'Twink', 'Bear']), 7, 0.875)
(frozenset(['goth']), frozenset(['epic', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic']), frozenset(['emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['goth', 'epic', 'gay']), frozenset(['emo', 'scene']), 5, 1.0)
(frozenset(['goth', 'emo']), frozenset(['epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'scene']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay', 'scene']), frozenset(['epic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay']), frozenset(['epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'scene', 'gay']), frozenset(['emo', 'epic']), 5, 1.0)
(frozenset(['goth', 'scene']), frozenset(['emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['epic']), frozenset(['goth', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic']), frozenset(['goth', 'gay', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'gay']), frozenset(['goth', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['epic', 'scene', 'gay']), frozenset(['goth', 'emo']), 5, 1.0)
(frozenset(['epic', 'scene']), frozenset(['goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['zacefron']), frozenset(['love', 'gay', 'zefron', 'zac']), 5, 1.0)
(frozenset(['love', 'zacefron']), frozenset(['zefron', 'gay', 'zac']), 5, 1.0)
(frozenset(['zacefron', 'love', 'zefron']), frozenset(['gay', 'zac']), 5, 1.0)
(frozenset(['love', 'zacefron', 'gay', 'zefron']), frozenset(['zac']), 5, 1.0)
(frozenset(['love', 'zacefron', 'zac', 'zefron']), frozenset(['gay']), 5, 1.0)
(frozenset(['zacefron', 'love', 'gay']), frozenset(['zefron', 'zac']), 5, 1.0)
(frozenset(['love', 'zacefron', 'zac', 'gay']), frozenset(['zefron']), 5, 1.0)
(frozenset(['zacefron', 'love', 'zac']), frozenset(['gay', 'zefron']), 5, 1.0)
(frozenset(['zacefron', 'gay']), frozenset(['love', 'zefron', 'zac']), 5, 1.0)
(frozenset(['zacefron', 'zefron', 'gay']), frozenset(['love', 'zac']), 5, 1.0)
(frozenset(['zacefron', 'gay', 'zefron', 'zac']), frozenset(['love']), 5, 1.0)
(frozenset(['zacefron', 'zac', 'gay']), frozenset(['love', 'zefron']), 5, 1.0)
(frozenset(['zacefron', 'zefron']), frozenset(['love', 'gay', 'zac']), 5, 1.0)
(frozenset(['zacefron', 'zac', 'zefron']), frozenset(['love', 'gay']), 5, 1.0)
(frozenset(['zacefron', 'zac']), frozenset(['love', 'zefron', 'gay']), 5, 1.0)
(frozenset(['zefron']), frozenset(['zacefron', 'love', 'gay', 'zac']), 5, 1.0)
(frozenset(['love', 'zefron']), frozenset(['zacefron', 'zac', 'gay']), 5, 1.0)
(frozenset(['love', 'zac', 'zefron']), frozenset(['zacefron', 'gay']), 5, 1.0)
(frozenset(['gay', 'love', 'zac', 'zefron']), frozenset(['zacefron']), 5, 1.0)
(frozenset(['love', 'gay', 'zefron']), frozenset(['zacefron', 'zac']), 5, 1.0)
(frozenset(['gay', 'zefron']), frozenset(['love', 'zacefron', 'zac']), 5, 1.0)
(frozenset(['zefron', 'gay', 'zac']), frozenset(['zacefron', 'love']), 5, 1.0)
(frozenset(['zac', 'zefron']), frozenset(['love', 'zacefron', 'gay']), 5, 1.0)
